,18hr_early,18hr_earlymid,18hr_late,18hr_latemid,3min_early,3min_earlymid,3min_late,3min_latemid,42hr_early,42hr_earlymid,42hr_late,42hr_latemid,49p5hr_early,49p5hr_earlymid,49p5hr_late,49p5hr_latemid,9hr_early,9hr_earlymid,9hr_latemid
leucine,51443384.5,1158762678.0,23479040.0,13750782.6,161249644.8,164162652.0,790635912.0,110312472.5,11077086.0,10740714.33,113386045.0,60415054.0,18477168.5,27675668.8,28023388.4,21141109.6,96326154.4,85771348.8,839918669.3
lysine,9118182.75,15975689.25,17359110.5,17657790.8,28451429.5,70277678.0,29501812.0,21557172.25,7295822.5,6684833.833,20712616.8,6881551.0,5656130.75,15045355.7,9748115.2,11542567.9,23055133.6,24914458.6,36411724.67
methionine,8027285.625,158186167.5,12530324.0,5198241.35,10777251.94,15083033.13,68423166.5,26299422.13,2686989.156,2351197.667,107723090.7,6779332.0,1557079.203,5388610.475,6285485.8,3307465.775,27710241.0,59164455.2,150633349.3
monosaccharide (glucose),1172856.189,1844807.531,1305138.45,2474715.9,29666.35117,291250.0797,1095402.689,895530.3398,795967.7779,2121546.856,2783827.85,4450982.525,17608.10059,1246409.68,2885309.375,2050478.823,342865.4594,1652581.525,2945922.188
myristate,10257583.3,9182365.1,7320690.1,6107868.9,18190995.6,17479787.6,16314038.4,16601130.0,9612301.5,8822154.6,6267574.3,7914818.0,9401871.2,7317717.9,6826818.7,5896386.6,10390105.6,8628407.7,8117998.0
N-acetyl-glutamate,3614005.869,5760105.144,9700563.0,18968965.15,239744.2172,2578862.848,3638355.416,3991431.759,2323361.503,4195229.525,2095227.716,5356787.65,278185.5645,1132850.269,1306870.613,2572965.363,719227.8547,4796224.0,12662878.8
N-acetylornithine,14085511.88,89543424.0,67171681.5,51544530.6,11890565.5,18551710.75,40686370.0,15363869.13,7136365.375,8115450.083,65879258.4,6810677.75,5220645.0,26407061.9,27156904.8,17369349.15,17476517.1,75763200.8,84910544.0
nicotinamide,41119884.0,28573149.25,41337546.25,26327273.0,39446091.0,28213174.0,56479025.0,28450524.0,10939044.0,10423805.83,11380280.2,19016967.0,14652899.5,15189956.26,31903552.6,16152650.0,59407242.4,92853769.6,113992920.0
nicotinate,374179.4,485247.9156,655011.2938,847138.325,72665.73047,208131.2305,465291.9563,332667.0727,482190.7313,964259.1969,1250840.088,2221019.0,485402.5031,976617.6125,2887183.65,1969857.538,60121.23438,225320.3266,297114.85
oleate,955734.6125,1441727.9,1382145.213,1791113.338,1141759.45,1013554.525,894387.8001,1015091.113,521124.05,710419.9875,1693944.525,1167045.838,841422.025,955284.8938,1284746.2,970468.575,1170349.6,1603995.575,1648760.675
palmitate,105837897.6,95013348.8,84141017.6,73167218.4,165160553.6,158510246.4,150731254.4,155626153.6,97703182.4,93859100.8,78906683.2,88584843.2,100718424.0,83117273.6,80788993.6,73000140.8,106499568.0,91830809.6,89734473.6
palmitoleate,2248348.2,12509965.25,7940981.075,7956119.1,1224232.15,2386563.15,4098812.763,1953223.95,385087.8094,383457.6031,2497579.8,2567826.275,488527.0813,1350388.825,1425838.788,1276231.544,4601510.2,15880692.4,10442504.0
pantothenate,89544601.5,175977818.0,132037220.0,165509352.0,3147826.656,5473330.875,18908850.5,8971354.375,95070136.0,175746066.7,392289092.8,327843160.0,45856197.5,357115672.2,617403910.4,263407734.4,28359610.4,57806096.8,75441706.67
phenylalanine,24721.97217,12364542.23,5666559.869,3913328.984,152193.5477,690372.5561,2052885.547,2220847.141,13687.02725,45545.4037,5960786.958,69260.67617,11316.71943,133679.4776,55747.37305,45906.26426,1487169.411,8934382.05,32292174.39
proline,20992032.25,95099881.0,96292878.5,94218990.0,48863741.5,48254394.5,134924838.0,68649658.75,11239098.0,23272185.67,25299077.6,27904022.0,14821475.5,24446361.8,31106550.6,17939760.4,24779432.4,31341144.4,104062021.3
pyridoxine,4920505.25,5424110.75,6183107.5,5194241.3,1459842.672,1575729.844,2810577.313,2103452.188,11304249.5,15272777.5,12335872.4,91308260.0,26644529.25,33227682.0,48708015.0,24282651.3,2856004.45,3922711.1,4347935.083
pyroglutamate,1126649.877,1534802.897,3840933.2,4811027.388,394517.3469,880774.4063,1846369.738,2359035.434,195509.45,933577.1656,874825.3156,875866.825,71755.22031,193343.4016,138306.1469,470478.8656,290141.4344,1928640.863,4393822.775
raffinose,2925671.089,3287045.375,10208114.58,22396411.5,566846.8188,2474203.153,4312293.588,16630428.05,84760.4498,202101.432,712383.4125,362589.4406,44485.63496,102734.1985,110978.1883,173599.6543,2082748.5,5171451.75,16694923.4
salicylate,9958679.2,7806770.7,6653538.6,8854859.8,4618607.4,5054321.45,4555815.7,3844936.9,14684210.3,14421406.8,13771505.2,17233740.8,13354007.75,11925727.43,21530172.4,16103773.8,8070221.2,5014989.2,5269926.0
serine,10161350.0,72226296.25,11149152.63,11693715.5,19001918.63,21124178.88,63828011.0,29048626.25,3362835.75,4433442.5,5262850.15,6005327.5,3413385.313,7189765.65,5003366.65,4106207.25,17673774.4,36973595.0,81456627.33
stachyose,1635820.462,3463877.05,9424552.8,9307545.7,608514.2438,3406955.65,5518530.759,4899066.577,34596.61074,114749.3426,659678.4281,1266809.448,15847.74551,46295.53946,56534.10898,136146.1967,1444160.497,3538248.85,7001224.3
stearate,191262444.8,176060444.8,157269664.0,139654593.6,281944908.8,273308364.8,261015126.4,271517766.4,172214278.4,165539187.2,141472452.8,160302696.0,173924176.0,148949619.2,144985691.2,130949436.8,192738240.0,168262745.6,174059523.2
succinate,31991306.58,37193581.2,35890640.2,59877529.2,3077373.825,6859918.425,12786345.2,23294365.03,4118413.138,24273109.58,14996591.1,36848062.4,472562.0438,6908511.463,4213415.7,7773205.05,15116361.95,54410146.8,68021032.8
taurine,5158336.688,4981971.25,7158805.938,5306108.5,3370099.406,2778817.063,5367164.5,3444688.563,8713591.875,9876442.5,13572616.3,72673016.0,21706884.75,54934466.8,68640535.8,14372983.7,3277158.0,4949182.95,4171559.667
threonine,35261.03887,1484473.603,645364.0203,106428.9078,90339.28634,283678.6953,772584.1578,873383.9465,17703.92617,29181.46211,179484.8293,32111.06641,12577.01777,28395.43535,34821.96602,34237.25605,158238.4613,396532.3359,2012064.542
thymidine,1552496.15,1933544.65,481150.4313,120363.0375,34397.9375,819120.125,1503310.125,1031304.075,0.0,0.0,4117462.0,0.0,0.0,8664553.6,0.0,0.0,7348.508594,1509582.6,5089669.319
thymine,4882161.534375,15169666.5,20865250.7,19530305.6,109349.7734375,246399.0375,448543.8,253399.2765625,3989909.51875,8317165.8375,19599532.3,9213899.8625,233091.06093760004,8715251.68125,8598488.478125,1452559.309375,5123419.2,11438349.9,11331274.6
tryptophan,3880187.813,67037417.0,39651101.75,49654224.4,13088307.0,16385973.88,65047095.5,46597109.88,300802.0,495290.2708,1894473.5,1648272.563,574471.2656,6172212.213,1101640.575,576164.8844,49754577.0,141850663.6,220618952.0
tyrosine,21327.63672,5562167.088,16368842.9,10089340.15,194658.7938,743442.9937,1710039.888,1737798.141,36097.17812,55166.1457,4303875.066,58414.97188,27657.1082,91775.75742,90577.50781,81706.42266,1965698.213,13680010.7,25505184.15
uracil,86759694.0,132533950.4,125305379.0,133451476.8,4125935.2,13107718.3,35204637.6,17512613.65,50935301.76,88900175.3,120499462.1,69221727.06,1030888.453,86402320.4,34207943.01,499514.9875,65034268.4,120308734.4,108816756.8
urate,62559.74453,71557.53202,278540.8969,256581.2969,29208.00957,93451.05626,3069240.488,231523.4846,148125.2924,210863.0281,620930.65,584184.35,91435.59531,370205.1531,1374207.406,584321.825,40786.11817,94195.23985,146691.7937
uridine,155481.4484,7533056.891,1060865.888,478292.7031,3439209.0,15350040.6,21964584.45,22551330.73,103822.9072,92155.88634,198400.6281,149123.1914,152577.2984,237257.0953,496181.3125,398349.4,106934.832,301903.3688,23769767.68
urocanate,6364446.8,6862071.9,8808024.4,10524465.6,181869.3578,243979.5844,200348.925,222793.6844,2285158.363,3584922.725,9503982.3,5701000.1,3054061.65,5807147.15,13003412.85,9910207.1,2216264.625,3911638.075,4817844.2
valine,83965.00001,13818424.72,21012560.19,126388.9594,201910.1141,1135240.5,4489668.356,2571421.914,60014.10234,84272.35391,1109175.263,110522.1906,58987.63828,93203.56954,178001.5985,110781.6109,93602.14531,224102.1063,16928788.55
xanthine,13328309.3,23180892.3,64820107.6,65239143.2,142192.3852,454639.2336,1769415.418,437041.9961,18055989.58,36761261.0,101180416.0,104235988.8,3369387.82,44224468.8,111962712.0,66325417.11,3693085.363,26843470.1,37008337.0
xylitol,1263282.631,1071575.213,1546167.863,3069008.375,56899.5,118361.9477,445519.25,1480906.902,738026.0246,1486881.613,1976039.256,2812511.575,181878.7625,2256694.563,1777920.923,1606142.892,717907.1031,1515462.538,2434361.375
